author,category,difficulty,duration,link,name,rating
James Wilson,cloud-computing,Beginner,1h 30m,https://www.pluralsight.com:443/courses/cloud-solution-environment-google-cloud,Setting up a Cloud Solution Environment on Google Cloud,
Vlad Catrinescu,cloud-computing,Beginner,59m,https://www.pluralsight.com:443/courses/introduction-microsoft-cloud-services,Introduction to Microsoft Cloud Services,
Sean Wilkins,cloud-computing,Beginner,3h 16m,https://www.pluralsight.com:443/courses/configuration-deployment-cloud-cv0-002,Configuration and Deployment for the Cloud,
David Davis,cloud-computing,Beginner,2h 8m,https://www.pluralsight.com:443/courses/cloud-computing-fundamentals,Fundamentals of Cloud Computing,
Janani Ravi,cloud-computing,Beginner,1h 49m,https://www.pluralsight.com:443/courses/google-cloud-architecting-storage-configurations,Architecting Google Cloud Storage Configurations,
Simon Allardice,cloud-computing,Beginner,47m,https://www.pluralsight.com:443/courses/cloud-executive-briefing,Cloud: Executive Briefing,
Glenn Berry,database-administration,Intermediate,1h 30m,https://www.pluralsight.com:443/courses/azure-sql-database-diagnosing-performance-issues-dmvs,Azure SQL Database: Diagnosing Performance Issues with DMVs,
Jonathan Kehayias,database-administration,Intermediate,2h 43m,https://www.pluralsight.com:443/courses/sqlserver-using-sentryone-plan-explorer,SQL Server: Using SentryOne Plan Explorer,
Glenn Berry,database-administration,Intermediate,1h 45m,https://www.pluralsight.com:443/courses/sqlserver-diagnosing-configuration-issues-dmv,SQL Server 2017: Diagnosing Configuration Issues with DMVs,
Glenn Berry,database-administration,Beginner,1h 33m,https://www.pluralsight.com:443/courses/sql-server-configuring-troubleshooting-log-shipping,"SQL Server: Understanding, Configuring, and Troubleshooting Log Shipping",
Glenn Berry,database-administration,Intermediate,2h 43m,https://www.pluralsight.com:443/courses/sqlserver-2017-diagnosing-performance-issues-dmvs,SQL Server 2017: Diagnosing Performance Issues with DMVs,
Kevin Murray,database-administration,Intermediate,5h 20m,https://www.pluralsight.com:443/courses/developers-guide-sql-server-clr,Developer's Guide to SQL Server CLR Integration,
Jeff Hopper,database-administration,Intermediate,2h 5m,https://www.pluralsight.com:443/courses/microsoft-azure-sql-database-managing,Microsoft Azure Developer: Managing Azure SQL Database,
,database-administration,Intermediate,2h 36m,https://www.pluralsight.com:443/courses/postgresql-playbook,PostgreSQL Playbook for Developer DBAs,
Matt Milner,cloud-computing,Intermediate,1h 52m,https://www.pluralsight.com:443/courses/azure-cloud-services-storage-fundamentals,Fundamentals of Azure Cloud Services and Storage,
Russ Thomas,database-administration,Intermediate,3h 39m,https://www.pluralsight.com:443/courses/sql-server-compliance-and-auditing,"Practical SQL Server Security, Compliance, and Auditing",
Mel Haynes,database-administration,Advanced,5h 3m,https://www.pluralsight.com:443/courses/sql-server-2008-advanced-dba-pt2,SQL Server 2008 Advanced Database Administration: Part 2,
Tim Boles,database-administration,Advanced,2h 15m,https://www.pluralsight.com:443/courses/ocp-12c-dba-enhancements,OCP 12c Enhancements for the DBA,
Gerald Britton,database-administration,Advanced,1h 10m,https://www.pluralsight.com:443/courses/ssis-database-maintenance-playbook,SSIS Database Maintenance Playbook,
Tim Boles,database-administration,Advanced,2h 9m,https://www.pluralsight.com:443/courses/ocp-12c-performance-enhancements-using,OCP 12c Using Performance Enhancements in Oracle 12c,
Warner Chaves,database-administration,Intermediate,2h 19m,https://www.pluralsight.com:443/courses/amazon-rds-implementing-sql-server,Implementing SQL Server on Amazon RDS,
SharePoint Conference,it-ops,Intermediate,56m,https://www.pluralsight.com:443/courses/sharepoint-conference-2019-session-13,SharePoint Conference '19: Flowverload: The World's Greatest Intro to Microsoft Flow,
Bruce Mackenzie-Low,it-ops,Beginner,4h 7s,https://www.pluralsight.com:443/courses/windows-performance-monitoring-fundamentals,Windows Performance Monitoring Fundamentals,
Robert McMillen,it-ops,Advanced,1h 6m,https://www.pluralsight.com:443/courses/microsoft-azure-import-export-data,Import and Export Data to Microsoft Azure,
Ross Bagurdes,it-ops,Intermediate,2h 19s,https://www.pluralsight.com:443/courses/firewalls-introduction,Introduction to Firewalls,
Adam Bertram,it-ops,Intermediate,3h 54m,https://www.pluralsight.com:443/courses/powershell-toolmaking-fundamentals,Windows PowerShell Toolmaking Fundamentals,
Liam Cleary,it-ops,Beginner,2h 7m,https://www.pluralsight.com:443/courses/sharepoint-server-concepts-fundamentals,SharePoint Server Concepts and Fundamentals,
Sean Douglas,it-ops,Intermediate,2h 30m,https://www.pluralsight.com:443/courses/examining-cisco-video-conferencing-fundamentals,Examining Cisco Video Conferencing Fundamentals,
Michael Bender,it-ops,Beginner,8h 27m,https://www.pluralsight.com:443/courses/windows-server-administration-fundamentals-using-powershell,Windows Server Administration Fundamentals Using PowerShell,
Google Cloud,it-ops,Beginner,3h 45m,https://www.pluralsight.com:443/courses/google-cloud-azure-windows-professionals,Google Cloud Fundamentals for Azure Professionals,
Google Cloud,it-ops,Intermediate,3h 51m,https://www.pluralsight.com:443/courses/google-cloud-aws-professionals,Google Cloud Fundamentals for AWS Professionals,
Kunal D Mehta,it-ops,Beginner,3h 35m,https://www.pluralsight.com:443/courses/system-center-orchestrator-2012-r2-fundamentals,System Center Orchestrator 2012 R2 Fundamentals,
Nigel Poulton,it-ops,Beginner,2h 9m,https://www.pluralsight.com:443/courses/security-enhanced-linux-selinux-fundamentals,Security Enhanced Linux (SELinux) Fundamentals,
Marcel de Vries,it-ops,Beginner,4h 30m,https://www.pluralsight.com:443/courses/docker-visual-studio-2017-windows,Introduction to Docker on Windows with Visual Studio 2017,
Jo Harder,it-ops,Intermediate,2h 12m,https://www.pluralsight.com:443/courses/netscaler-essentials-getting-started,Getting Started with NetScaler 12 Essentials,
Thomas Rayner,it-ops,Beginner,1h 10m,https://www.pluralsight.com:443/courses/azure-automation-getting-started,Getting Started with Azure Automation,
Ross Bagurdes,it-ops,Intermediate,3h 42m,https://www.pluralsight.com:443/courses/wireshark-protocol-analysis-troubleshooting,Troubleshooting with Wireshark: Fundamental Protocol Analysis,
Red Hat,it-ops,Intermediate,3h 44m,https://www.pluralsight.com:443/courses/ansible-fundamentals,Ansible Fundamentals,
Milena Pajic,business-professional,Intermediate,1h 56m,https://www.pluralsight.com:443/courses/business-analysis-managing-requirements,Business Analysis: Managing Requirements,
Milena Pajic,business-professional,Advanced,2h 36m,https://www.pluralsight.com:443/courses/business-analysis-techniques-planning-monitoring,Business Analysis Techniques: Planning and Monitoring Business Analysis Work,
Jason Nash,it-ops,Intermediate,4h 39s,https://www.pluralsight.com:443/courses/vmware-nsx-intro-installation,VMware NSX for vSphere Introduction and Installation,
Casey Ayers,business-professional,Beginner,1h 52m,https://www.pluralsight.com:443/courses/life-beyond-business-analysis,Life Beyond Business Analysis,
Lauren Malhoit,it-ops,Beginner,1h 36m,https://www.pluralsight.com:443/courses/cisco-aci-fundamentals,Fundamentals of Using Cisco ACI,
Heather Mylan-Mains,business-professional,Beginner,2h 19m,https://www.pluralsight.com:443/courses/it-team-as-business-analyst,Living in an IT Team as a Business Analyst,
Devin Thorpe,business-professional,Intermediate,2h 59m,https://www.pluralsight.com:443/courses/financial-modeling-business-plan,Financial Modeling for a Business Plan,
Microsoft Ignite 2019,it-networking,Advanced,1h 8m,https://www.pluralsight.com:443/courses/microsoft-ignite-session-104,What’s Next for Software-defined Storage and Networking for Windows Server,
Google Cloud,it-networking,Intermediate,3h 18m,https://www.pluralsight.com:443/courses/networking-google-cloud-hybrid-connectivity-network-management,Networking in Google Cloud: Hybrid Connectivity and Network Management,
Martin Brown,it-networking,Intermediate,59m,https://www.pluralsight.com:443/courses/networking-tunnels-junos-os,Networking Tunnels in Junos OS,
Rich Bibby,it-networking,Intermediate,1h 56m,https://www.pluralsight.com:443/courses/juniper-networks-jncia-junos-user-interfaces,Juniper Networks JNCIA-Junos: User Interfaces,
John Savill,it-networking,Intermediate,3h 42m,https://www.pluralsight.com:443/courses/azure-networking-architecting-implementing,Architecting and Implementing Azure Networking,
Wes Higbee,it-networking,Beginner,6h 10m,https://www.pluralsight.com:443/courses/docker-swarm-mode-getting-started,Getting Started with Docker Swarm Mode,
Greg Dickinson,it-networking,Intermediate,2h 2m,https://www.pluralsight.com:443/courses/managing-cisco-networking-vm-platforms,Managing Cisco® Networking on VMware and Microsoft VM Platforms,
Ben Piper,it-networking,Intermediate,1h 45m,https://www.pluralsight.com:443/courses/cisco-enterprise-networks-basic-networking-ip-fundamentals,Cisco Enterprise Networks: Basic Networking and IP Fundamentals,
